Realm Name	Export Time	PMktPrice Date	Reserved	Item ID	Item Name	AH MarketPrice Coppers	AH Quantity	AH MarketPrice	AH MinimumPrice	14-day Median Market Price	Median Market Price StdDev	14-day Todays PMktPrice	PMktPrice StdDev	Daily Price Change	Avg Daily Posted	Avg Estimated Daily Sold	Estimated Demand
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	35	Bent Staff	2510000	3	251	251	715.69	466.73	1010.09	459.26	0.0471	4	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	38	Recruit's Shirt	9990899	3	999.0899	999.0899	1064.57	190.76	1268.92	168.64	0.018	5.43	0.21	0.0387
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	39	Recruit's Pants	0	0	0	0	8000	0	8000	0	0	0.14	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	40	Recruit's Boots	43881751	1	4388.1751	4388.1751	6000	1139.73	4264.98	90.96	-0.0249	0.21	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	45	Squire's Shirt	22476291	2	2247.6291	2247.6291	2440.91	987.31	3219.89	618.26	0.0752	3	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	48	Footpad's Pants	40580000	1	4058	4058	4208	402.74	4408.95	204.94	0.0147	1.93	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	51	Neophyte's Boots	0	0	0	0	1704	0	1718	0	0.0006	0.07	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	52	Neophyte's Pants	0	0	0	0	1150.21	0	1150.21	0	0	0.14	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	53	Neophyte's Shirt	3749792	3	374.9792	374.9792	378.98	3.06	373.16	1.11	-0.0016	15.5	0.14	0.009
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	56	Apprentice's Robe	26103899	1	2610.3899	2610.3899	2610.39	0	2610.39	0	0	0.71	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	117	Tough Jerky	0	0	0	0	130.28	54.85	177.33	7.59	0.0986	2	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	118	Minor Healing Potion	200	3	0.02	0.02	0.1	3.87	3.15	3.6	0.0869	14.36	1.64	0.1142
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	139	Brawler's Pants	83956920	1	8395.692	8395.692	8395.69	3511.7	6492.14	3177.89	-0.0387	0.86	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	148	Rugged Trapper's Shirt	0	0	0	0	122312.28	72577.39	41697.22	31120.24	-0.1255	1.64	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	159	Refreshing Spring Water	0	0	0	0	0.17	0.14	0	0.02	-0.1642	12.14	1.07	0.0881
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	414	Dalaran Sharp	0	0	0	0	52.59	32.24	70.12	6.17	0.1383	1.43	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	422	Dwarven Mild	0	0	0	0	3.82	2.88	1.96	2.83	-0.0677	15.79	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	647	Destiny	320000000	1	32000	32000	51000	22434.46	21000	12856.3	-0.0946	1.71	0.07	0.0409
